분류,강의명,난이도,가격(현재가격),가격(원래가격),총소요시간,강의소개,출처
JavaScript,Curso de JavaScript Completo do iniciante ao mestre (2022),모든 수준,"₩19,000","₩25,000",,"What you'll learn
Dominar a linguagem Javascript
Desenvolver diversos códigos em exemplos práticos do mundo real (fuja de exemplos apenas 'hello wold')
Conhecer as principais novidades no ES6
Iniciar com orientação a objetos em Javascript
Dar os primeiros passos com TypeScript
Conhecer o básico sobre o modelo MVC
Dar primeiros passos na criação de uma API Rest",https://www.udemy.com/course/javascript-completo-2018-do-iniciante-ao-mestre/
Laravel,"Desenvolvimento Web Avançado com PHP, Laravel e Vue.JS",중급자,"₩19,000","₩79,000",,"What you'll learn
Configurar o ambiente de desenvolvimento nos sistemas operacionais Windows, Linux Ubuntu e OSX.
Trabalhar com rotas, grupos e com os verbos HTTP Get, Post, Delete, Put e Patch.
Trabalhar com o motor de renderização de views Blade
Trabalhar com o desenvolvimento incremental de bancos de dados relacionais utilizando Migrations
Criar Seeders e Factories para popular tabelas
Trabalhar com o console Tinker
Como manipular e validar formulários
Como interceptar requisições e respostas utilizando Middlewares
Show more",https://www.udemy.com/course/curso-completo-do-desenvolvedor-laravel/
Web Development,Komple ASP.NET Web Geliştirme Eğitimi|62 Saat|2019,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Adım adım, en temelden programcılık öğrenip piyasanın en üst seviyelerine çıkacaksınız.
HTML 5, CSS3, Twitter Bootstrap 4 ile Temel web programcılığı konularını öğreneceksiniz.
JavaScript ES6 ve 7+ ile günümüzün en popüler JavaScript Frameworklerinin ve kütüphanelerinin (Angular, React, Vue) temelini en doğru şekilde oluşturacaksınız.
TypeScript ile modern JavaScript Framework'ü Angular için temel oluşturacaksınız
En popüler JavaScript Framework'ü Angular 7 öğreneceksiniz.
C# Dilini öğreneceksiniz
Nesne Yönelimli Programlama öğreneceksiniz.
ADONET, Entity Framework ve LINQ ile Veri Tabanı programlama öğreneceksiniz
Show more",https://www.udemy.com/course/angular-6-ve-aspnet-core-mvc-bastan-sona-proje-gelistirme/
Angular,Formação Angular 13 - O início criando 7 projetos,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Criar aplicações básicas/intermediárias com o Angular
Criar 7 projetos práticos, incluindo uma calculadora, um conversor de moedas, CRUD, Dashboard, jogo da velha,...
Criar e executar projetos do zero com Angular
Criar projetos utilizando o Angular CLI
Entender a arquitetura do Angular
Entender o que são Typescript e Webpack
Criar componentes (components) no Angular
Criar serviços (services) no Angular
Criar filtros (pipes) no Angular
Criar diretivas (directives) no Angular
Aprender a criar formulários de dados
Aprender a validar dados de formulários
Show more",https://www.udemy.com/course/formacao-angular-inicio-criando-7-projetos/
Vue JS,Vue js 3 [Actualizado] Desde cero + Vite + Firebase 9 + MEVN,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Conocer las bases de Vue desde cero
Trabajar con Rutas dinámicas realizando SPA (single page application)
Realizar registro de usuarios con Firebase
Crear rutas protegidas para usuarios registrados
Trabajar con base de datos (Firestore)
Incorporar Bootstrap 4 a tus proyectos web
Realizar validaciones de formularios con Vuelidate
Subir proyectos al Hosting de Firebase !GRATIS!
Vuetify (Material Design para VUE)
AXIOS (consumo de API pública)
Manejo de imágenes con Storage de Firebase
Registro con Google y Facebook
Show more",https://www.udemy.com/course/curso-vue/
CSS Flexbox,"CSS La Guía Completa - Flexbox, CSS Grid, SASS +20 proyectos",모든 수준,"₩19,000","₩25,000",,"What you'll learn
Crear sitios web utilizando Flexbox y Grid
No solamente veremos Flexbox y Grid, en este curso aprenderás otras tecnologías como Gulp, SASS, Fetch API, NPM, Variables CSS y más!
Integrar herramientas modernas a tu trabajo como desarrollador y ver como se unen unas con otras como las mencionadas anteriormente.
Diferenciar cuando es bueno utilizar Flexbox y cuando es bueno Grid (aunque no son excluyentes uno del otro)",https://www.udemy.com/course/css-grid-y-flexbox-la-guia-definitiva-crea-10-proyectos/
Web Development,Die komplette Web-Entwickler Masterclass,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Erstelle tolle Webseiten die von den Besuchern geliebt werden
Qualifiziert dich für eine Position als Junior Webentwickler und ermäglicht dir als Quereinsteiger deinen Traumjob zu kriegen
Qualifiziert dich an Webseitenprojekten als Freelancer zu arbeiten und endlich diesen Lifestyle zu leben, von dem du seit langem träumst.
Starte Dein eigenes Business und baue so deine finanzielle Unabhängigkeit auf.
Werde zu einem selbstbewussten Front-End Entwickler der die Scriptsprachen HTML CSS und Javascript beherrscht wie seine Muttersprache.
Lerne die Verwendung von Datenbanken und serverseitigen Programmiersprachen",https://www.udemy.com/course/web-entwickler-masterclass/
Vue JS,Vue.js: De cero a experto,모든 수준,"₩219,000",,,"What you'll learn
Aprender Vue 3 a profundidad
Vue Router
Vuex
Test unitarios
Options API y Composition API
Modularización y re-utilizacion de código",https://www.udemy.com/course/vuejs-fh/
JavaScript,Die komplette JavaScript Masterclass: Vom Anfänger zum Profi,초급자,"₩19,000","₩25,000",,"What you'll learn
Ohne Vorkenntnisse zum gefragten JavaScript Entwickler
Lerne an Top-Aktuellen Praxis Beispielen
Lerne JavaScript im Detail zu verstehen
Teste und vertiefe Dein Wissen mit relevanten Übungsaufgaben
Verstehe asynchrones JavaScript: Event-Loop, Promises, async/await
Schreibe JavaScript für den Browser und den Server (NodeJS)
Benutze moderne JavaScript-Features (ES6 bis ES10)",https://www.udemy.com/course/javascript-komplett/
Laravel,Dominando Laravel - De principiante a experto,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Crear aplicaciones robustas y escalables con el framework más popular de PHP, LARAVEL",https://www.udemy.com/course/dominando-laravel-de-principiante-a-experto/
WordPress,Desarrollo Profesional de Temas y Plugins de WordPress,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Convertir sus propios diseños de Photoshop a WordPress
Poder leer la Jerarquia de Temas de WordPress (Theme Hierarchy) para realizar cualquier diseño en especifico
Conocer archivos más avanzados de WordPress
Sacar el máximo provecho a WordPress sin tener tantos problemas
Crear sitios web 100% dinámicos para el trabajo que ya tienes o el que deseas tener",https://www.udemy.com/course/experto-de-photoshop-a-wordpress-creando-2-themes-plantillas/
Photoshop,Adobe Photoshop Definitivo - Foco em design e criatividade.,초급자,"₩19,000","₩25,000",,"What you'll learn
Ao final deste treinamento o aluno irá ter total domínio da edição de imagens no photoshop.
Aprender as melhores práticas no tratamento de imagens.
Terá noções claras de design tanto para mídias impressas quando para a web.
Criar Flayers, cartões de apresentação, cardápios, peças publicitárias, Dupla exposição e etc",https://www.udemy.com/course/adobe-photoshop-definitivo-foco-em-design-e-criatividade/
React JS,"React do Zero a Maestria (c/ hooks, router, API, Projetos)",모든 수준,"₩17,000","₩23,000",,"What you'll learn
Criar aplicações completas com React
Gerenciamento de páginas com React Router
Utilização de todos os hooks do React
Gerenciamento de contexto com Context API
Integração de React com Firebase
Criar projetos com React e Firebase
Criar aplicações com MERN (MongoDB, Express, React e Node)
Criar projetos com React e Redux",https://www.udemy.com/course/react-do-zero-a-maestria-c-hooks-router-api-projetos/
Python,Curso Práctico de Django: Desarrollo Web Backend con Python,중급자,"₩19,000","₩25,000",,"What you'll learn
A utilizar entornos virtuales con Pipenv para gestionar cómodamente tus proyectos.
Cómo funciona Django Framework y su MVT basado en Modelos, Vistas y Templates
A desarrollar una colección de 10 apps reutilizables para tus futuros proyectos.
A crear tus propios backends, con panel administrable, listos para darles un uso real.
También aprenderás a desplegar Django en un servidor de producción gratuito en la nube.
Obtendrás experiencia práctica con proyectos reales, como una web personal o para un negocio.
Serás un experto en el uso de las CBV, las Vistas Basadas en Clases.
Cómo gestionar usuarios, autenticación, registro y perfiles utilizando los módulos nativos de Django.
Show more",https://www.udemy.com/course/curso-django-2-practico-desarrollo-web-python-3/
Redux Framework,REDUX en Angular con NGRX: Desde las bases hasta la práctica,중급자,"₩219,000",,,"What you'll learn
Implementar el patrón Redux exitosamente en aplicaciones de Angular
Conocer cómo funciona Redux desde absoluto cero hasta aplicarlo en la vida real
Dominar la librería de NGRX y Herramientas que ofrece el paquete
Crear aplicaciones basadas en cambios de estado
Tener experiencia con Firebase, AngularFire2, FirebaseHosting, FireStore
Realizar despliegues de aplicaciones de Angular en servidores de producción
Expandir tus conocimientos de Angular",https://www.udemy.com/course/redux-ngrx-angular/
ASP.NET Core,Seja Full-Stack com .NET Web API e Angular + EF Core,중급자,"₩19,000","₩25,000",,"What you'll learn
Introdução ao ASP .NET Core 5
Introdução à Angular 11 e 12
Implementar RESTful API
Características e Conceitos Essenciais Asp .net API MVC
Mergulho ao Entity Framework Core 5
Criar Web API em várias Camadas",https://www.udemy.com/course/angular-dotnetcore-efcore/
Web Development,"(Ken Cen出品)建網百科全書-使用 HTML,CSS,JS, jQuery,php,mySQL 建立網站",초급자,"₩19,000","₩79,000",,"What you'll learn
能使用HTML來編寫網頁上各種各樣的對象或者元素
能夠使用指定不同的元素或者對象用CSS或CSS3去美化他們，讓網站看起來更光彩奪目！
能使用Javascript,jQuery去製作具有各種功能的網頁程序或互動效果
能使用Bootstrap的框架去製作美觀，複雜的網頁程序，並適應不同的設備，包括各種平板和手機等
能使用Wordpress無需編寫任何一段代碼去構建自己的網上商店或論壇
能使用PHP和mySQL去編寫功能強大的服務器端程序，響應用戶的請求，實現服務器端與客戶端的互動！",https://www.udemy.com/course/ken-cens/
Web Development,Curso de HTML 5 COMPLETO e com Projetos Práticos para WEB,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Cada uma das 113 tags do HTML5, seus atributos e eventos de maneira prática
Construir Sites Modernos e Responsivos que funcionam bem em Smartphone
Os Fundamentos da Web, a linguagem de Marcação HTML5, Estilizar um Site com CSS3
Introdução ao JavaScript, passando pelos comandos principais do JavaScript",https://www.udemy.com/course/web-html5-css3-javascript/
PHP,"Máster en PHP 8, POO, MVC, MySQL, Laravel 8, CodeIgniter 4",모든 수준,"₩19,000","₩25,000",,"What you'll learn
Aprenderás los principios de la programación con PHP desde cero y paso a paso, no necesitas ningún conocimiento previo.
Aprenderás programación Orientada a Objetos (POO) y ejecutar el patrón Modelo-Vista-Controlador (MVC) en todos los proyectos de programación que emprendas.
Bases de datos Relacionales con MySQL y conexión a las bases de datos con protección PDO (PHP DATA OBJECT)
Seguridad Informática: Prevenir ataques XSS, ataques CSFR, SQL Injection, Code Injection, Brute Force Robots, contraseñas encriptadas y mucho más
Construir tu propio Administrador de contenidos (CMS: Content Manager System) desde cero como Wordpres, Joomla o Drupal
Crear un Administrador de contenidos con Laravel: El framework número uno de PHP integrando la plantilla AdminLTE
Crear API’s Rest con CodeIgniter",https://www.udemy.com/course/crea-aplicaciones-php-seguras-con-sql-y-ajax-desde-cero/
Web Development,"2022網頁開發全攻略(HTML, CSS, JavaScript, React, SQL, Node, more)",모든 수준,"₩19,000","₩88,000",,"What you'll learn
學習所有前端後端必要知識與技能，轉職成為工程師
充分使用HTML5、CSS、JavaScript來製作網頁架構與功能，增加網頁使用性與靈活性，寫出運作優良且穩定性高的 JS 程式碼
創造有形與富有現代設計感的優質網站，增加網站曝光度與實用性
使用最新CSS styling技術，例如: Flexbox、SCSS，來對網頁設計達到事半功倍效果
用Figma做出網頁架構藍圖，並做出網頁樣板與精美圖形
學習響應式網頁設計 (Responsive Web Design)，讓網頁在不同裝置上仍保持美觀與實用
了解進階JavaScript，了解JS當中奇怪的部分，例如 Scope, Hoisting, Hoisting, Scope, Closure, Prototype Inheritance, execution context, callbacks, this keyword
使用NodeJS + ExpressJS 製作出網頁後端伺服器，根據使用者需求展現不同功能的網頁
Show more",https://www.udemy.com/course/html5-css3-z/
Laravel,Introdução ao Laravel,초급자,"₩19,000","₩25,000",,"What you'll learn
Instalar e configurar um projeto com Laravel
Trabalhar com Rotas do Laravel
Implementar com Blade
Trabalhar com Migrações
Criar registros com Tinker
Realizar um CRUD com Laravel
Implementar um sistema de Login com Laravel",https://www.udemy.com/course/introducao-ao-laravel-53/
Vue JS,Sıfırdan İleri Seviye Vue.JS Eğitimi ve Uygulama Geliştirme,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Mükemmel VueJS uygulamaları geliştirmenizi sağlayacak. Küçük ve basit uygulamalardan, Enterprise Seviyesinde Uygulama geliştirmeye kadar tüm seviyeleri geliştirebileceksiniz
VueJS' in arkasında çalışan yapıyı anlayacak ve bu bilgiyi gerçek uygulamalar içinde uygulayabileceksiniz
VueJS' in hem çoklu sayfalarda hem de Single Page Application (MPA, SPA) ile kullanımı göreceksiniz",https://www.udemy.com/course/sifirdan-ileri-seviye-vuejs-2-vuex-vue-router-egitim-seti/
Full Stack Web Development,"[2023] Kurs Tworzenia Stron WWW cz. II - SASS, JS, Bootstrap",중급자,"₩19,000","₩25,000",,"What you'll learn
Stworzysz zaawansowaną i w pełni responsywną stronę WWW.
Poznasz podstawy języka JavaScript.
Poznasz dobre praktyki pisania kodu.
Poznasz Bootstrapa, preprocesor SASS, zaawansowany CSS, Flexboxa i więcej!",https://www.udemy.com/course/od-zera-do-front-end-developera-cz2/
HTML5,Curso de HTML5 desde cero: El más completo en Español,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Dominar HTML
Dominar HTML5
Crear páginas web desde cero
Primeros pasos en el desarrollo web
Aprender a usar todas las etiquetas más importantes en profundidad
HTML moderno en profundidad
Aumentar las posibilidades laborales como desarrollador
¡Y mucho más!",https://www.udemy.com/course/el-curso-de-html5-desde-cero-mas-completo/
CSS,Universidad CSS - Aprende CSS desde Cero hasta Experto!,모든 수준,"₩17,000","₩23,000",,"What you'll learn
Crear aplicaciones Web utilizando CSS (Cascading Style Sheets) con las últimas versiones al día de hoy!
Aprenderán absolutamente desde cero CSS, veremos desde los elementos básicos, hasta intermedios y avanzados de CSS
CSS te ayudará a conseguir empleo como FrontEnd Web Developer
Sólo necesitas tener algunas bases de HTML (puedes estudiar el curso de Universidad HTML en caso que no tengas conocimientos de HTML)",https://www.udemy.com/course/universidad-css-aprende-css-desde-cero-flexbox-responsive-web-desing/
Angular,Curso de Angular 2 (v15+) Typescript do Básico ao Avançado,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Angular
Javascript
Javascript do Zero ao Avançado
TypeScript
TypeScript do Zero ao Avançado
Web Development
Criar aplicações básicas/intermediárias com o Angular
Desenvolva projetos escaláveis no Angular
Criar e executar projetos do zero com Angular
Criar projetos utilizando o Angular CLI
Criar componentes no Angular
Criar serviços (services) no Angular
Ao final do curso o aluno terá conhecimentos para criar aplicações JavaScript modernas (ES6) capazes de serem executadas em browsers atuais.
Poderá utilizar o framework Angular 2 + para criação de aplicações WEB.
Show more",https://www.udemy.com/course/curso-de-angular/
Typescript,Entendendo TypeScript,중급자,"₩19,000","₩25,000",,"What you'll learn
Entenda o que é realmente o TypeScript e Como Funciona
Por que o TypeScript oferece uma vantagem real sobre o JavaScript pura
Use o TypeScript qualquer um dos seus projetos e tenha acesso a recursos como Tipos, Suporte ES6, Classes, Módulos, Interfaces e muito mais",https://www.udemy.com/course/typescript-pt/
Front End Web Development,HTML e CSS Essencial - Front End Completo para Iniciantes,초급자,"₩19,000","₩25,000",,"What you'll learn
O(a) aluno(a) será capaz de criar sites completos com base na estrutura HTML5 e CSS3
O(a) aluno(a) será capaz de desenvolver projetos com designers modernos e responsivos, bem como protótipos de projetos
Estará apto(a) a atuar como desenvolvedor(a) Front-End no mercado de trabalho ou mesmo em seu próprio empreendimento
Será capaz de analisar as necessidades de uma empresa ou cliente para desenvolver as soluções necessárias
O(a) aluno(a) será capaz de criar sites responsivos que funcionam em versões diferentes para celulares e computadores com 100% de compatibilidade
O(a) aluno(a) aprenderá sobre cores (padronização), mídias (vídeos e imagens) para a aplicação do conceito moderno ""mobile first"" em todos os exemplos",https://www.udemy.com/course/html-essencial-desenvolvimento-front-end/
Next.js,Next.js: El framework de React para producción,모든 수준,"₩219,000",,,"What you'll learn
Aprenderas Next-js desde cero
Comprender cómo trabajar con Next + TypeScript
Diferentes técnicas de renderizado: SSR, SSG, CSR, ISR
Next Middlewares para APIs y Páginas
Rutas dinámicas y estáticas
Next Auth
Material UI
Introducción a Next UI
Cookies
Pagos con PayPal y Tarjetas de crédito
Despliegues en varias plataformas
Show more",https://www.udemy.com/course/nextjs-fh/
JavaScript,JavaScript 全攻略：克服 JS 的奇怪部分,모든 수준,"₩19,000","₩69,000",,"What you'll learn
理解 JavaScript 的運作機制與基本概念
寫出優良穩定的 JavaScript 程式碼
瞭解進階觀念，像是閉包、原型繼承、IIFEs
徹底地增進 JavaScript 的除錯能力
避免一般開發者會犯的 JavaScript 陷阱和錯誤
瞭解 JavaScript 受歡迎框架的原始碼
建立自己的 JavaScript 框架或資源庫",https://www.udemy.com/course/javascriptjs/
Web Development,Conviértete en un Desarrollador Web desde cero Paso a Paso,모든 수준,"₩19,000","₩69,000",,"What you'll learn
Aprenderás conmigo el paso a paso de los lenguajes más populares de la web
Programación Orientada a Objetos
Crear intranets
Estructurar sitios web",https://www.udemy.com/course/desarrollo-web-desde-cero-paso-a-paso/
Front End Web Development,Web Design Completo em HTML / CSS + Criação do seu Portfolio,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Ao final do curso os alunos terão fluência na linguagem HTML/CSS e estarão preparados para fazer páginas web com códigos, usando apenas um editor de texto. Além disso, todos os alunos terminam o curso com um portfolio/currículo publicado na internet, pois este é o projeto que vamos fazer juntos aqui, desde o começo.",https://www.udemy.com/course/curso-pratico-html-css-construa-seu-portfolio-online/
React JS,React JS + Next JS 13 ¡Curso Desde 0! [Actualización 2023],모든 수준,"₩19,000","₩25,000",,"What you'll learn
React: Fundamentos paso a paso y desde cero
Hooks: Trabajar con Hooks en React [nuevas características de React]
Firebase: Integrar Firebase como Backend
Firestore: Utilizar bases de datos con Firestore
Auth: Crear Autenticación y Registro de usuarios en nuestra aplicación web
Router: Configurar Rutas protegidas dando acceso solo a usuarios registrados en nuestro sitio web
Bases de Datos: Aprender reglas para proteger nuestra base de datos
SPA: Crear aplicaciones SPA
Redux: Aprende los fundamentos de Redux en React
Ducks: Utiliza la metodología de ""Pato"" en Redux
Show more",https://www.udemy.com/course/curso-react-js/
Spring Boot,"Spring Boot Expert: JPA, RESTFul API, Security, JWT e Mais",중급자,"₩19,000","₩25,000",,"What you'll learn
Desenvolvimento de Aplicações Enterprise com Spring Boot
Conhecer e dominar os módulos do Spring Boot
Obter maestria no framework Java mais utilizado no mercado atualmente
Trabalhar com JPA, obtendo conexões com bases de dados e operando com entidades
Desenvolver API's RESTFul utilizando recurso avançados
Adicionar Segurança na Aplicação com Spring Security
Implementar Autenticação utilizando Tokens JWT
Documentar API's REST utilizando o SWAGGER",https://www.udemy.com/course/spring-boot-expert/
Ruby on Rails,Ruby on Rails 5.x - Do início ao fim!,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Conhecer a linguagem Ruby
Trabalhar com o framework Ruby on Rails
Prototipar uma aplicação
Modelar os dados de uma aplicação
Desenvolver uma aplicação Ruby on Rails
Publicar uma aplicação no Heroku
Configurar o ambiente de desenvolvimento para Ruby on Rails
Trabalhar com AJAX e Ruby on Rails
Publicar uma aplicação Rails no Heroku
Conhecer e usar o Vagrant
Configurar e usar o RVM
Configurar o VS Code
Desenvolver um aplicação completa com o Ruby on Rails
Configurar e publicar uma aplicação em um servidor privado (VPS)
Show more",https://www.udemy.com/course/rubyonrails-5x/
React JS,React PRO: Lleva tus bases al siguiente nivel,중급자,"₩219,000",,,"What you'll learn
Progresar como desarrolladores en React
TypeScript
PWAs manuales y con Workbox
Storybook
TSDX, Storybook y despliegues manuales a NPM
Github Actions
Versionamiento Semántico
Patrones de creación de componentes
Formik
Formularios dinámicos
Lazyload
Módulos
Re-utilización de componentes
Show more",https://www.udemy.com/course/react-pro/
Web Development,Веб разработка - с нуля до профессионала. Full Stack,모든 수준,"₩17,000","₩69,000",,"What you'll learn
Изучите обе стороны Web разработки - frontend и backend
Научитесь создавать веб страницы при помощи языка разметки HTML
Научитесь стилизовать сайты при помощи CSS
Научитесь добавлять интерактивность на ваши сайты при помощи языка JavaScript
Научитесь пользоваться инструментами, ускоряющими процесс разработки сайтов - jQuery и Bootstrap
Научитесь работать с серверной частью и API при помощи языка PHP
Научитесь работать с базами данных на примере MySQL
Изучите основы популярнейшего языка Python и узнаете, как его можно использовать в работе с API
Изучите основы Django и узнаете, как можно использовать Python в работе с backend
Изучите основы самой популярной JavaScript библиотеки - React",https://www.udemy.com/course/web-full-stack/
NestJS,Nest: Desarrollo backend escalable con Node,모든 수준,"₩219,000",,,"What you'll learn
Nest con TypeScript
Backend servers con Node
Restful APIS robustas y seguras
Conexiones con bases de datos SQL y NoSQL
Websockets
Validaciones de data y tipos
Nest Guards, interceptors, pipes, controllers, decorators, services, filters, modules y middlewares",https://www.udemy.com/course/nest-framework/
React JS,"React 16+ Le Guide Complet (+Redux, React Router & Firebase)",초급자,"₩19,000","₩25,000",,"What you'll learn
Créer une application ou un site React.js de A à Z.
Comprendre les Components React.js et écrire en JSX.
Créer et maintenir les States d'une application.
Faire passer des données entre plusieurs parties d'un site web.
Faire persister des données grâce au localStorage.
Stocker des informations dans une base de données avec Firebase.
Créer un code lisible et maintenable.
Naviguer d'une URL à une autre en utilisant React Router 4.
Coder plus efficacement grâce aux possibilités qu'offre ES6.
Lancer une application ou un site React.js sur le web.
Show more",https://www.udemy.com/course/react-le-guide-complet/
React JS,Aprende React + Firebase | 2021 Actualizado,중급자,"₩23,000",,,"What you'll learn
En este curso aprenderas los conceptos de React y como conectarlo a Firebase",https://www.udemy.com/course/aprende-react-firebase-2021-actualizado/
React JS,"React.JS, Guía desde 0 (Actualizado 2022)",초급자,"₩19,000","₩25,000",,"What you'll learn
Construir sitios web utilizando la libreria React JS
Consumir REST API (Fetch y Axios)
Context API
Pensar en componentes
Escribir codigo óptimo de React Js
Organización de las carpetas de tu proyecto
Redux
Redux Toolkit
Tailwind Css",https://www.udemy.com/course/reactjs-guia-desde-0/
Web Design,Diventare Web Designer da zero. Il corso completo - 2023,초급자,"₩19,000","₩25,000",,"What you'll learn
Gestire completamente il processo di sviluppo di un sito web fino alla pubblicazione
Conoscere HTML e CSS e saper utilizzarli con professionalità e creatività
Impostare un moderno progetto web responsivo
Conoscere e utilizzare gli strumenti tecnici grafici di una pagina web
Conoscere le basi di jQuery e implementare i progetti web con elementi di animazione
Conoscere ed utilizzare un framework responsivo
Gestire uno spazio hosting, utilizzare un FTP e pubblicare un sito on line",https://www.udemy.com/course/diventare-web-designer-corso-completo/
Angular,Développer Votre Première Application avec Angular (2023),초급자,"₩19,000","₩25,000",,"What you'll learn
Créer une application Angular complète à partir d'un dossier vide
Développer un système de navigation entre composants
Ajouter des formulaires pilotés par le template et par le modèle
Effectuer des requêtes HTTP depuis son application
Mettre en place un système d'authentification
Déployer une application Angular en production",https://www.udemy.com/course/angular-developper-tutoriel-application-typescript/
Angular,Angular 7/8 - Material Design + Node.js + MongoDB + Firebase,초급자,"₩19,000","₩25,000",,"What you'll learn
Construir aplicações com formulários, validações, pipes e animações
Elaborar projetos complexos utilizando programação reativa
Dominar a utilização de fluxos de dados e operadores RXJS
Programar APIs utilizando Nodejs e MongoDB
Criar aplicações que interagem com o Firebase (FireAuth, CloudStore e FireStone)
Entender o conceito de estados através da utilização do NGRX",https://www.udemy.com/course/angularcompleto/
AngularJS,AngularJS - Desde Hola Mundo hasta una Aplicación (legacy),모든 수준,"₩88,000",,,"What you'll learn
Dominar la sintaxis de AngularJS
Aprender conceptos básicos e intermedios de AngularJS
Consumir recursos web (APIs) en tus aplicaciones de AngularJS
Crear aplicaciones web
Construir un programa web, que no requiera hacer refresh del navegador (Como gmail)
Se realizarán ejercicios y exámenes, que posteriormente serán resueltos en el curso.",https://www.udemy.com/course/angularjs-en-espanol/
Laravel,Laravel 9 - Crea Aplicaciones y Sitios Web con PHP 8 y MVC,중급자,"₩17,000","₩69,000",,"What you'll learn
Laravel un Framework con todas las ""baterias incluidas""
Como funciona el MVC en Laravel
Blade para mostrar información en tus aplicaciones
Relacionar Tablas con Eloquent el ORM
Métodos para consultar la base de datos con Eloquent
Crear aplicaciones Dinamicas que sirvan datos desde una base de datos
Añadir autenticación de Usuarios con Breeze
Subir archivos con Laravel
Aprende Livewire
Aprende temas avanzados de Laravel como Notificaciones y Middleware",https://www.udemy.com/course/curso-laravel-crea-aplicaciones-y-sitios-web-con-php-y-mvc/
Node.Js,Node.js do Zero a Maestria com diversos Projetos,모든 수준,"₩17,000","₩79,000",,"What you'll learn
Aprender Node do básico ao avançado
Criar projetos completos com Express
Aprender o padrão MVC com Node
Criação de API com Node e Express
Operações e integração de Node JS com MySQL
Operações e integraçãode Node JS com Sequelize
Operações e integraçãode Node JS com MongoDB
Operações e integraçãode Node JS com Mongoose",https://www.udemy.com/course/nodejs-do-zero-a-maestria-com-diversos-projetos/
Next.js,Next.js e React - Curso Completo - Aprenda com Projetos,모든 수준,"₩17,000","₩23,000",,"What you'll learn
Next js
React js
Integração com Tailwind CSS e Typescript
Fazer Deploy na Núvem
Boas Práticas de Programação e Muito Mais",https://www.udemy.com/course/nextjs-e-react/
React JS,Universidad React ★: De Cero a Master + 5 Cursos de Regalo,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Conocimiento profundo de React Core con el curso mas completo y actualizado de React ✪ en español
+ 5 Cursos de Regalo (Redux, React Router, Animaciones, Styled Components, Test con Jest y Enzyme)
Todo sobre React Hooks
Todo sobre React API Context
Animaciones y transiciones aplicadas a componentes
Ciclo de vida de Componentes estatales y hooks
Aprende las Mejores arquitecturas de desarrollo escalable
Composición de Componentes
Buena practicas de desarrollo con React
Componentes Responsivos y con styled components
Show more",https://www.udemy.com/course/universidad-react-de-cero-a-master/
JavaScript,Современный JavaScript + Vue с нуля на реальных проектах.,모든 수준,"₩20,000","₩25,000",,"What you'll learn
JavaScript и основы программирования: переменные, логические операторы, if / else, циклы, функции, массивы и т.д
Более сложные структуры, такие как this, замыкания, классы, конструкторы, наследование и прототипы
Изучим асинхронный JavaScript а именно Event Loop, AJAX, Promises, Async/Await
Научимся работать со сторонним API
Напишем несколько проектов с использованием ES6+
Изучим новые фичи стандарта ES6+
Научимся организовывать и структурировать код
Бонус. Разбор задач с собеседований и как начать работать на фрилансе.
Познакомимся с современным сборщиком Webpack
Домашние задания и презентации по основным темам курса
Show more",https://www.udemy.com/course/modern-javascript-from-beginning/
PHP,PHP do Zero a Maestria + 4 Projetos incríveis,모든 수준,"₩19,000","₩25,000",,"What you'll learn
Criar uma rede social colaborativas de filmes, parecida com o IMDB (do absoluto zero)
Programar de forma avançada com a linguagem PHP
Tipos de dados em PHP
Estruturas de repetição e condição em PHP
Orientação a Objetos em PHP
PHP e MySQL (PDO, conexão, CRUD)
Bancos de dados com PHP
Páginas dinâmicas com PHP, MySQL, HTML e CSS
Design patterns com PHP
Criar projetos web avançados (boas práticas, clean code, responsividade)
E muito mais, o curso vai te preparar para ser realmente um desenvolvedor PHP!
Show more",https://www.udemy.com/course/php-do-zero-a-maestria-com-projetos-incriveis/
ASP.NET Core,Aprende ASP.NET Core MVC 6 Haciendo Proyectos Desde Cero,초급자,"₩17,000","₩23,000",,"What you'll learn
Entender el patrón de desarrollo web MVC
Desarrollar varios proyectos web con MVC
Comunicarte con una base de datos de SQL Server usando Dapper
Publicar aplicaciones de MVC en Azure y IIS",https://www.udemy.com/course/aprende-aspnet-core-mvc-haciendo-proyectos-desde-cero/
